"Mm.40828","Mm.203949","Mm.3879","Mm.316754","Mm.378976","Mm.234441","Mm.28291","Mm.380374","Mm.3258","Mm.297949","Mm.312593","Mm.248360","Mm.333725","Mm.6787","Mm.19669","Mm.25556","Mm.329123","Mm.209503","Mm.29625","Mm.380699","Mm.291225","Mm.29344","Mm.358692","Mm.380139","Mm.264984","Mm.15406","Mm.313351","Mm.45686","Mm.27447","Mm.25582","Mm.46251","Mm.362054","Mm.155058","Mm.291161","Mm.28559","Mm.334477","Mm.244226","Mm.126450","Mm.290116","Mm.350577","Mm.24021","Mm.345858","Mm.5048","Mm.379383","Mm.319204","Mm.23895","Mm.11869","Mm.371902","Mm.209150","Mm.25960"
1.42943652,0.51062508,0.000461,0.83043278,0.64038213,-3.9966343,-0.519385305,-1.7998226,-1.4525021,-1.0022771,-1.3249571,-0.8506376,-2.4542559,-1.7826527,-2.31827,-0.8134379,-2.6510687,-3.4831579,-0.8618651,-0.0603902,1.80753406,-2.6507126,-0.8473068,-0.1097925,-1.3465829,-1.9659506,-0.2527243,1.67008712,0.06662506,-2.6507126,-3.0554103,-3.1774537,-1.8961498,-1.206078,-2.6791229,-2.6209463,-1.3028206,1.57307804,-0.1543229,-2.3077622,-0.8838669,-0.0178227,-0.316237,1.59164332,-1.9705035,-1.0131981,0.97896004,-0.6043523,-4.0339405,0.47311285
0.95800624,0.34209995,-0.969867,0.72649589,0.47520011,-2.8740276,-0.45452464,-1.3893369,-1.2424303,-2.8572976,-2.1551061,-1.4638864,-2.342649,-1.0074016,-1.187513,-2.8572976,-3.9747671,-3.2151477,-1.4493263,-0.0947697,2.14302015,-2.8572976,-0.6525147,-0.8240215,-1.4425264,-2.8572976,-0.4455105,1.38678649,-0.2693421,-2.8572976,-2.5595915,-2.148086,-2.8572976,-1.8475457,-2.8572976,-1.6465332,-2.8572976,1.58271259,-0.3336384,-2.467071,-0.7523659,0.10500093,-0.6137114,1.570228,-1.9211528,-1.0223643,1.100759,-0.2565623,-2.8572976,0.61838584
1.14579429,0.40415818,-0.6020218,1.01411287,0.47619852,-2.9249674,-0.50895093,-1.5165723,-0.9295214,-2.9683741,-1.7609815,-1.3576799,-3.477491,-1.7323997,-0.9750755,-2.9683741,-2.8937397,-2.9249674,-1.6130596,-0.0575663,2.13809769,-3.4152098,-0.483632,-0.4138911,-1.2837552,-2.9683741,-0.3184332,1.43065628,-0.2018809,-3.5663527,-2.7786357,-1.9267637,-2.0483228,-1.6016337,-4.0118429,-1.4101497,-1.921468,1.92816795,-0.0442639,-1.9803232,-0.921699,0.12152965,-0.5950667,1.80498239,-2.2866235,-0.5126302,1.31130775,-0.4500788,-2.9683741,0.31975649
0.53467283,-0.2426918,-0.9544094,1.03103474,0.14814762,-2.0583642,-0.597939505,-1.2986693,-1.6208163,-1.9933956,-1.9096689,-1.2099507,-1.6796907,-1.8428255,-1.4489579,-1.5257376,-2.617401,-2.5364647,-1.4290752,-0.1551278,2.14013322,-3.043263,-1.1629439,-0.5801325,-1.1970432,-1.8065253,-0.7354435,1.35086427,-0.7804461,-3.043263,-1.9219115,-2.6963752,-2.6780557,-0.9828073,-5.0238914,-1.0482827,-1.6152241,1.75528464,0.23580677,-2.4210465,-0.8168933,0.05081271,-0.6653412,1.58354543,-1.7260973,-0.511502,1.25248545,-0.2261065,-1.3515113,0.58290177
0.71562385,0.03387263,-0.8503241,1.10202111,0.26199069,-1.9730782,-0.46303381,-0.9809761,-1.3215929,-1.9925164,-2.0379149,-1.5198879,-2.0450963,-1.5191576,-0.9717769,-2.7002355,-3.1124618,-2.6585249,-1.3242316,0.04526222,1.96135482,-1.9608471,-1.1082011,-0.3015057,-1.5163517,-2.8256395,-0.5481878,1.49265462,-0.0581058,-2.7878151,-3.6514958,-2.7436028,-2.9150411,-1.4437289,-2.9924669,-1.14369,-2.419109,1.67409264,0.17625601,-2.126765,-0.7386016,0.13477458,-0.8791318,1.65958698,-1.9367695,-0.6789356,1.07352938,-0.5046745,-2.4740378,0.59645105
1.30781273,0.56095514,-0.1601727,0.63475372,0.61756459,-3.4845574,-0.265321165,-1.7570114,-1.301241,-1.6269975,-0.8785189,-1.2038277,-2.8894535,-1.7495993,-1.0163391,-2.1259323,-2.2665956,-2.3685464,-1.55511,-0.0424227,1.91907069,-2.8894535,-0.9626039,-0.3017046,-1.9151221,-2.8894535,-0.3014732,1.56216271,0.31313846,-2.8894535,-2.9867315,-2.6320928,-2.8894535,-1.4739972,-2.8894535,-2.6124673,-1.2477045,1.62092809,-0.0774757,-1.9488524,-1.1083952,0.01258949,0.04930237,1.58596765,-2.2536905,-1.5221497,0.88376554,-0.6436557,-2.8894535,0.44725521
1.02809248,0.32238458,-0.8288245,0.98484552,0.41661645,-2.03474,-0.360177155,-1.6942095,-1.2730121,-2.6779495,-1.8858914,-2.0916552,-2.5769728,-1.7559543,-1.1483684,-2.6779495,-3.706383,-3.1032475,-1.1935064,-0.0182643,1.93947392,-2.6779495,-0.8099549,-0.299126,-0.991614,-2.6779495,-0.5443437,1.5514342,-0.0783151,-2.1634093,-3.6705422,-5.1415548,-4.0483705,-1.7188888,-2.6779495,-2.6779495,-1.6396795,1.56092204,-0.1063733,-1.6738926,-0.9399143,0.0699419,-0.5651267,1.52222236,-2.0434321,-0.8286427,0.98396383,-0.3191417,-2.6779495,0.69340354
0.76646532,0.2969745,-0.4472548,0.90082558,0.2218534,-2.8982726,-0.43370918,-1.2295853,-1.6870901,-1.4892877,-2.9245546,-0.058929,-1.8306084,-1.705441,-0.9947118,-2.9245546,-3.8461929,-1.1482123,-1.2180174,-0.237607,2.25878369,-2.9245546,-1.1052059,-0.4059856,-1.442335,-2.2480398,-0.9339324,1.41525741,-0.4886965,-2.9245546,-2.3467591,-1.740783,-2.8426266,-1.2382229,-2.5529305,-1.0939111,-0.362132,2.08736156,0.27027983,-0.7861835,-1.2975948,-0.0746551,0.2727769,1.79496839,-1.307342,-0.6626848,1.23504911,-0.3990733,-3.020884,0.58059192
0.5702807,-0.1473554,-0.7790228,0.8381706,0.23577731,-1.4225662,-0.610936645,-1.2103512,-1.2589208,-1.8443473,-1.6661432,-1.417183,-2.2692745,-1.4374934,-1.1585298,-2.6262544,-2.8335241,-4.1706244,-1.2277538,-0.2333607,2.05528705,-2.9928611,-1.124013,-0.0658852,-1.5365138,-1.8138149,-0.5683634,1.53135049,-0.3717386,-2.7191517,-2.4876419,-1.0592295,-2.2765758,-0.9238299,-3.2909847,-1.115107,-2.3018249,1.88514744,0.50282002,-1.4604488,-0.894428,-0.1551973,-0.3010549,1.66825801,-2.1531665,-0.6740413,1.34075951,-0.4258969,-3.0374057,0.57292536
1.25496622,0.34240007,-0.5838573,0.22606813,0.47577947,-1.7153626,-0.605125865,-1.6839126,-1.0847663,-2.6595087,-0.6700495,-0.9964779,-1.8254985,-1.8611481,-2.1043947,-1.2692895,-3.7634154,-3.3667063,-1.315181,-0.2845793,2.31339808,-2.4760831,-1.0507463,0.09704182,-2.0287662,-1.7417344,-0.2855811,1.57899309,-0.1048582,-3.3866431,-3.5771798,-3.1248088,-1.9118883,-1.1988903,-2.2462317,-1.2899386,-1.4724788,2.15057744,0.18767891,-1.7225879,-0.9408503,-0.2664917,-0.3419705,1.78864721,-2.3197554,-0.5515715,1.28886653,-0.8142101,-6.3352664,0.50623913
