Identifier	M145-R1_t1	M145-R2_t1	M145-R3_t1	M145-R1_t2	M145-R2_t2	M145-R3_t2	M145-R1_t3	M145-R2_t3	M145-R3_t3	M145-R1_t4	M145-R2_t4	M145-R3_t4	M145-R1_t5	M145-R2_t5	M145-R3_t5	M145-R1_t6	M145-R2_t6	M145-R3_t6	M145-R1_t7	M145-R2_t7	M145-R3_t7	M145-R1_t8	M145-R2_t8	M145-R3_t9 M145-R1_t8	M145-R2_t9	M145-R3_t9
SCO7762	4.747613970361307	4.4846697530377035	4.837596246528657	4.345642265937938	5.0649732852295415	5.218157620808728	5.3776465821153545	5.267098346151178	5.790413283366864	5.136832439546858	4.941629553526334	5.006796503776641	5.4896351730836415	4.679078703192883	5.790413283366864	5.721102291667501	4.764211077468772	5.265659774561336	5.426659269428367	4.5801227694825135	5.1964004907390535	5.193988705669787	4.872562930865421	5.811753015806505	5.614369716755149	5.305995280453956	5.566884503369128
SCO7751	6.374453598816888	6.531204533865608	6.554690697301998	6.508584752371504	6.5973231560193515	6.698001818417035	6.596924388101421	5.196018979197634	4.84563351441251	5.772774578752783	6.507663760106929	4.428257706218685	4.8321761287414775	6.526920907113192	4.858804271014434	4.886518632036271	6.280342987411718	5.768291856922283	4.984861246342274	6.561629635189534	5.2617515122788046	6.275847448560488	6.128613371900093	4.874070041796357	6.267909923663878	6.615374618232222	5.920964080511076
SCO7749	7.24538868905246	7.073430638313892	7.066410493412191	7.385047072606012	7.119117543639852	7.228555809989034	7.188388842242905	6.775550231992096	6.34855924694517	6.871369764110865	7.360593738099752	6.382995304717278	6.562982445412686	6.919374353530755	6.499742199484093	6.669639341850249	7.290024545563409	6.852918870629684	6.349701246205971	7.263733068591226	6.8344676416170635	7.123352494127989	7.065735703349402	6.298691784834367	7.341370557842944	7.348524133631154	7.155812284286596
SCO7737	3.522350172617969	3.668956483634424	4.344343048723937	3.75015992094294	4.048755783831442	4.599908187510613	3.1278965587138785	4.592173281666839	4.958571593459226	4.098927160383098	4.2887013809061685	5.62311590807254	4.658134258729774	4.679078703192883	5.078834557271913	5.0911682554521045	5.045579892167945	4.659778107937297	4.845393902269779	4.354520520299418	4.207394704541288	3.730194199267097	4.319917678943889	5.136630804062733	4.486133768122971	4.287963558354139	4.8121529674525725
SCO7734	8.641650901590168	8.506591746308711	8.502809413733315	8.918423882450035	8.756338818298458	8.747487945089432	8.77126739682453	7.943628846806716	6.790583278136544	7.845983532635087	8.273772808954504	7.120380902985548	7.706621590988984	8.443686393156305	7.028165391107504	7.237732284210054	8.538831484478429	8.388375579732458	7.736042971818279	8.546415613020002	8.303112779131602	8.501778884288147	8.38811064332669	7.295890315947373	8.297649635194722	8.648893166531561	8.623564140876956
SCO7733	10.27825774471015	10.310461196125864	10.401778031371956	10.53091330394101	10.455891793599784	10.529407348895704	10.334041640857563	10.266287469196175	10.434079479488975	9.828210177815896	9.93561693188181	10.345702350318406	10.460496417133681	10.154411062411503	10.636108763353702	10.54418213886782	10.366504133891219	10.344218437954186	10.569065551846652	10.355791849182339	10.485132387751708	10.34625339978709	10.334632708922106	10.652846884953135	10.486787522658181	10.408630137163977	10.4463607165425
SCO7730	8.739262558690722	8.807680816751915	8.77889678419374	9.046704240760695	8.900477085601437	9.012127388471624	8.939078545217708	7.811111817430396	6.574412873051092	8.14945761845268	8.137674443891253	6.583624177884968	7.221839872729837	8.476977736738519	5.675574406188538	6.100313857591921	8.315297444750557	8.171808508131027	6.989106549571822	8.355563702155303	7.846964815512681	8.363338670954768	7.980395625893065	6.255665495806821	8.22292530384612	8.276665373692161	8.140180105649183
SCO7723	6.340720439216035	6.169916038848163	6.124423885053111	6.528887898772336	6.659649136202042	6.267909923663878	6.920705989081657	6.70279419092401	7.1032664110527985	7.019499900176373	6.914696374198033	7.677492561785188	7.447032532186229	6.724724499655084	8.00510602353019	7.540973700291956	6.704414074385888	6.895645425570571	7.328421551024885	6.334063075778202	6.687622806886154	6.544885176850479	6.470171249711126	7.725536168899019	6.61468193517284	6.556438271609261	6.608673348246569
SCO7719	7.766622081412777	7.687320844241205	7.581925982898293	7.350274525087319	7.75508746980713	7.541870621253463	6.920705989081657	6.559884919371054	5.832725294068622	6.799271374296572	7.03780276665603	6.771429016667247	6.944234511086162	7.426965959944866	6.5106080937054545	6.398287731194359	7.751239164641507	7.346618565937954	7.0703312867086	7.591702161481434	7.660498958759639	7.705763058939793	7.66348050200582	6.884492793001023	7.65215083265433	7.590661895230532	7.780714111913475
SCO7712	7.927910072052401	7.527951325826654	7.7009388894028445	7.675543964599967	7.541870621253463	7.4120671784105046	7.465385711403794	6.514193068001067	6.552606739604555	6.936466371520982	7.389922286569753	6.6595352060727535	6.981608942852116	7.732748885446138	6.730661277435805	6.8891784875159825	7.7381209481709	7.644098159445109	6.920364753033752	7.717027746660044	7.532638537193085	7.764919345452865	7.755831282125527	6.845093178155935	7.872124850229342	7.722889739855328	7.6652060173602345
SCO7706	6.53978599356566	6.492034331541536	6.382018440081581	6.528887898772336	6.5973231560193515	6.476136684332172	6.059492271771655	5.9065537465817455	6.285845486548485	6.571943768197878	6.713453899786949	6.010491990826072	6.404039026162879	6.600795506170949	6.542456645540877	6.585216141276681	6.754308120854764	6.515952655502221	6.178208861268434	7.00519396390233	6.7528503398671935	6.947195122503705	6.880013918373715	6.628039806458802	6.97672748137178	6.717931052371526	6.878339369528378
SCO7705	6.53978599356566	6.379293758508965	6.596766767733726	6.051714808755246	6.375845593322917	5.901474270172743	6.343951591447746	6.70279419092401	6.930076444245609	6.349701246205971	5.537102334499595	6.255665495806821	6.7665742001066125	5.841910774013221	7.403109206585466	7.199492662488047	5.8389440357441975	5.636086418265239	6.931373770276313	5.614369716755149	6.451751827305094	6.264165006585376	6.128613371900093	7.226993146356914	6.191375670898775	5.987483477426741	5.970457021450559
SCO7701	5.716079763348007	5.626501440470056	5.983083483759135	6.646218808861711	6.491079266048998	6.592422673786082	7.097220364069294	6.574412873051092	6.082820411698105	7.89015047759019	8.097431839007488	6.583624177884968	7.177190004178731	8.47292349149623	6.5214270900269415	7.136322932779245	8.337714150857964	7.845983532635087	6.82602669726443	8.29365409944302	7.405018560245015	8.061236337058281	8.135022654267765	6.1566816316552	7.6587365954804305	8.142580551542878	7.53364459372619
SCO7699	5.627141339685964	5.73841523109812	5.8976591283858495	6.508584752371504	6.691584258337706	6.4521920371878005	7.452573448016887	7.295308683849818	7.290451734518486	7.8335155126478515	8.259980087832739	7.047995418589105	7.868428561580971	8.356982401361101	7.843720588309598	7.933537669716236	8.414129118241302	7.912202845818458	7.830939163610982	8.399002527654101	7.405018560245015	8.169534822045467	8.332952478582728	7.3137576781106315	7.980535138350202	8.189593285491902	7.587829259974781
SCO7698	7.046609743798582	6.828105209756217	6.554690697301998	6.938056875781274	6.691584258337706	6.550606748318632	6.65288433027213	7.13736344653702	7.311046339946959	6.978382182987294	7.066753840355099	8.350429980931652	7.975738236937099	6.995687981273086	8.132197854073018	7.896443358946895	7.00535461553114	7.05239967769348	7.444911984380511	6.626119914659414	7.02611269150852	6.771197177265112	7.196302567669418	8.148824201180945	6.825348757134086	6.836660837261631	7.291525624332573
SCO7690	5.1656180299744445	5.565646700151451	4.837596246528657	5.738540956388169	4.776354814319491	4.881438734058111	5.3776465821153545	7.035972103159143	8.276065085375294	6.776606088263363	5.790413283366864	8.361163743153298	7.949503092910749	5.344723481161455	8.89759099333794	8.29365409944302	5.5666396312720225	6.431377506925695	7.968743555513295	5.436348397594991	7.421226932973389	5.741824467809461	6.519744417142903	8.709052959289028	6.777720044431289	6.252325010390447	6.5453887882184985
SCO7685	5.541769498184835	4.825313689292943	4.71549920484614	5.554303907004714	5.175945874298113	5.699887301447554	5.728127797032638	7.3767167432348675	8.13394611440771	6.435277347018403	4.843866825229187	7.873812840729106	8.264455506568943	5.344723481161455	8.869892450539739	8.537633260004835	5.6646211908075035	6.310393263023897	8.181681702923724	5.614369716755149	7.005024065032122	6.054632970088146	6.389326604633427	8.77602615397107	6.69010967301785	6.423517166958531	6.5453887882184985
SCO7680	4.470435303019755	5.565646700151451	5.738134741479424	6.39535164896513	6.200416152800691	6.046795175099861	5.606625372005446	6.70279419092401	6.754604150141932	5.84824807696287	5.321489373523045	7.281666698123861	7.377988996008976	5.7768355114626555	7.697032816466262	7.424002310774273	5.618544755400519	5.795700182169016	6.790669045705648	5.376556570983219	6.320371152687874	5.628979258266608	5.829375584920332	7.507718617369401	6.165811994759826	5.719584727382869	5.723352806561099
SCO7673	4.077397564119519	4.673762764622777	4.344343048723937	4.599451482802571	5.0649732852295415	4.881438734058111	4.541642372779956	3.0759202103336603	4.121432551788707	4.098927160383098	5.167781130951954	4.349299152663143	3.9089782508136635	4.579193473891297	4.381068021721265	4.168170189417439	4.381068021721265	4.094543840257777	4.18923277575746	4.222472857574149	4.332837970637054	4.236159908081845	4.319917678943889	4.502517463218499	3.4247880466447542	3.9186045702727723	4.0484730661156405
SCO7666	6.446910197956068	6.4053140558944595	6.273337309142869	6.273994407810287	6.200416152800691	6.4521920371878005	6.149454738508638	6.112844943374986	6.7144882122668434	6.222410668806777	6.0889665272474955	6.147741821924441	6.118360109602425	6.031677050748228	7.022140310300798	6.442986371685063	6.195817170353754	6.168232081807384	6.474722658685607	6.334063075778202	6.0587656653551125	6.275847448560488	6.148280336296514	6.6359848744684555	6.507789485396978	6.576926590290961	6.939172261121613
SCO7657	13.051510080982531	12.73336159059814	13.357406112320126	13.251153848846233	13.483876389258807	13.50503025626797	13.621937198573475	13.824082561147781	13.695359110281814	14.353192512416348	15.14945392315442	15.14945392315442	15.422345731336824	15.53158753828316	15.53158753828316	15.53158753828316	15.53158753828316	15.53158753828316	15.14945392315442	15.53158753828316	15.53158753828316	15.53158753828316	15.53158753828316	15.295272944046232	15.422345731336824	15.53158753828316	14.97736210621265
SCO7655	9.339646105765011	9.118492094416533	9.367695260427444	9.2722645432457	9.415233180801245	9.492592548724126	9.339646105765011	9.068548343084892	8.123114512466536	8.46042132124238	8.926756646378182	7.76588379772318	8.67831838048572	9.394516359593203	8.535592707120525	8.694114676119439	9.448647395155863	9.338552283732763	8.84900281929681	9.357585792813929	9.359613302382904	9.526130229021568	9.506959148065736	8.844057410047997	9.476385623893094	9.565493575698735	9.29608532263576
SCO7654	9.0619161833591	8.93065402493075	9.04440279110947	8.874167389919876	8.815404760400387	8.881976011182896	8.798335144150197	8.401058280208357	7.617147571468812	8.306266797387478	8.791362821035422	7.850954285415312	8.50976590990378	8.785748239369289	8.26374735581943	8.379586708149018	8.878585060657548	8.85330230339736	8.618604190001912	8.875980319552129	8.80883094492521	9.063880453161799	9.11175451508854	8.500080387895341	9.17616199298607	9.088766423247135	9.013358768588725
SCO7652	9.216631320584414	9.177569280840196	9.48489019800126	8.951628901544106	8.991880908586705	9.116611449152815	9.251975116242045	8.545836894190627	7.629384024879225	8.425211146465715	8.273772808954504	8.169722545846282	7.799009533738251	8.560921154118015	7.319680671145557	7.803044680318085	8.723651441294908	8.834540630523726	8.252673821796598	8.779926943912784	8.649372987742264	8.646198441752075	8.612818353878598	7.587829259974781	8.450980485880235	8.629415511557728	8.597078896151737
SCO7647	6.722197508739505	6.28548686942132	6.713912650371743	8.533906650295176	8.473258472104423	8.82727716893964	9.282188808559109	8.994343476894553	7.513768104771013	8.854097395086693	9.138685957012742	8.174939037555298	8.772632479140539	9.56285588658115	7.9321779068179605	8.50734144167206	9.34538418111968	9.067869469407816	8.795928404614243	9.305301909688092	8.749378823566952	9.251564454183315	9.113855811415899	8.25836735764506	9.028703555686668	9.269875085861525	8.99914944650062
SCO7644	6.259092882730374	6.226706684384178	6.092315052608111	6.48721667899516	6.291942875017444	6.627367917715225	6.761357177962618	6.418455216202394	6.916336688236561	6.4053140558944595	6.77522241714518	7.482099351954041	6.469602841854325	6.503777556602404	7.078248935423488	6.8891784875159825	6.5214270900269415	6.852918870629684	6.594371878203607	6.753880646537857	6.398287731194359	6.423765117053866	6.689804337410655	6.597865689250679	6.825348757134086	6.576926590290961	6.5453887882184985
SCO7641	5.862859437355263	5.684004596636826	5.615851345515877	5.618544755400519	5.549312412608255	5.5917098486392405	5.4603579263532955	6.616875617865692	7.311046339946959	5.79792939247896	5.434817149894385	6.829508993017755	7.177190004178731	5.62311590807254	7.319680671145557	7.222734958311864	5.708922219138179	5.676732557652509	7.114365949934533	5.704593857740132	6.126315077976015	6.025514919288713	5.958179326432939	7.401334906908277	6.165811994759826	5.787485630480876	6.389870814266596
SCO7640	6.509380019346029	6.6391802302243095	6.692679067242439	6.574412873051092	6.691584258337706	6.427160840459897	5.844153026690357	6.400789649157935	7.047995418589105	5.995359091094197	6.327977083356599	6.880871945228227	6.100313857591921	6.268017004267471	6.873810758975983	6.537185069839584	6.222410668806777	6.310393263023897	6.6346014845631345	6.442986371685063	6.426621830902278	6.340720439216035	6.297484674795816	7.022681828363352	6.31647211422564	6.100313857591921	6.708793297276399
SCO7638	6.948592077973483	6.7872172880256185	7.010040735842617	7.017924501382677	6.730661277435805	6.893660567689428	6.962073008669758	6.864791272228484	6.8674782527042515	6.518363629672365	6.713453899786949	6.465826856244595	6.956988922229191	6.706951770790631	7.1032664110527985	6.991391144068068	6.497799740393438	6.656986368037628	7.101412689849426	6.401943644835498	6.69912676838161	6.628039806458802	6.723009391220354	7.338586386986886	6.69010967301785	6.59739053707608	6.4521920371878005
SCO7633	4.967911230692694	4.673762764622777	5.553417770425954	5.618544755400519	5.928729006739797	5.997768360018441	5.3776465821153545	4.7486415626014145	4.540424832688566	5.772774578752783	6.5623060403011095	4.538201086158854	5.157281521308619	6.42337294784355	4.858804271014434	5.189539541700016	6.650727644427394	6.011172125210424	5.397375427116466	6.278620961087912	5.544041928207235	6.357777168367912	5.958179326432939	5.249680447204056	5.791372670286114	6.382995304717278	6.389870814266596
SCO7632	9.493225521446753	9.545967535597073	9.650690312667905	10.827735704310093	10.618552997033124	10.848297718272477	9.689307672378913	9.219089441494921	8.180385174728565	9.40383587115597	9.541753949823804	9.225907817507096	9.421019648687729	9.811279164199519	8.869892450539739	9.10299854420528	9.522919149834943	9.60534852897036	9.372359023652464	9.628775004989958	9.6250933246994	10.015079196114094	9.804354790705068	9.742574570870067	10.283572280584652	9.983612830476382	10.189213094973674
SCO7631	5.425795450878196	4.95320834480629	5.093132672478358	4.48583525580143	5.0649732852295415	5.218157620808728	5.7895296821609925	7.035972103159143	7.497481338589609	11.796481424434415	12.379466342400068	11.841581203293131	11.221641742823111	11.65210063161624	11.424241789477119	11.354815160622163	11.385434556315772	11.265329781419366	10.96058542821075	11.27451877740711	11.364340714378052	11.31372820248074	11.666558596794642	11.143443555052828	11.373933954062684	11.60548406577664	10.865748584351596
SCO7630	8.894520155430481	8.830378980095196	9.037281318821046	8.95804005640139	8.667361209427124	8.988468806206903	8.329754210666435	8.320427750183885	7.761627310889658	8.24631177430545	8.35576515568022	7.76588379772318	8.37723222866017	8.730407741304555	7.6110589392965124	8.213438062239204	8.66636855588988	8.713379359954198	8.310884060850775	8.74169759722289	8.63179977501649	8.599294995444792	8.796784404050111	8.144524380118721	8.711497105781543	8.823522568139925	8.88639310858476
SCO7629	8.317924082371846	8.42101558037653	8.34963957321364	8.13179876734566	7.9716463532838455	8.06291498414529	8.028040342476022	7.903978948192654	7.678553686896121	7.2642684809029765	7.716874423313342	7.1691566140685605	7.780123730026707	8.055982083103679	7.5346506502592945	7.569316324831507	7.943026598306572	7.86806067032271	7.66557266997794	7.931555161945373	7.848706047920324	8.025497963026089	8.087733269620884	7.765966129297832	8.139111730874056	8.094428112453775	8.111323535506871
SCO7618	8.69295769881288	8.583889446522898	9.00327120877684	8.74994056432152	8.699460257874389	8.813795580325458	8.586060093689444	7.973700248338948	7.269102780200145	8.306266797387478	8.27943768648286	7.251972728257631	7.780123730026707	8.187406716508283	6.943482197922375	7.854542175252244	8.158441052096613	8.1384812864659	7.81246740053851	8.2225667825561	8.093584633126586	8.38865914073948	8.327417533418828	7.503512404595453	8.339343312670335	8.285524740871438	8.233077894448229
SCO7617	9.480639651962061	9.17031779777465	9.696380588479371	9.305301909688092	9.35395371146911	9.395602598216879	9.19759530284972	8.69968524863309	7.800287402089765	8.798678869920654	9.166302326209557	8.350429980931652	8.531700208250617	9.127763893832373	8.163798869678505	8.516364854486628	9.266483604596193	9.271048143507269	8.611718459948829	9.238564558298195	9.271656343376485	9.30173119329645	9.166302326209557	8.411883956719409	9.404679706271422	9.199924756632495	9.185964198950426
SCO7615	9.772356827723415	9.822681305258524	10.091789251088962	9.856474343300283	9.687076344531176	9.74050546915268	9.652603247852365	9.110877147877297	8.414581956510336	9.062416431898443	9.116054011833173	8.73403309862121	8.859208376246823	9.080453150518645	7.863689995285751	8.71948065080042	9.1903562153623	9.121057109045726	8.916826566702701	9.228482311741619	9.350575826437714	9.127763893832373	9.052531286234883	8.700842930612158	9.37648146851851	9.082024939088118	9.185964198950426
SCO7612	6.509380019346029	6.050584800645138	6.755713898496454	5.618544755400519	6.200416152800691	6.046795175099861	6.713453899786949	5.684004596636826	5.841067004759551	7.349475609295918	7.51010312635443	6.813369937702876	7.521137892080602	7.820685674958122	6.458651346687721	7.338723219711247	8.095482993901083	7.979797927722105	7.477536942541036	7.803219301887008	7.955411573335393	7.9802243724022865	7.6526251038335715	6.7546961177881055	7.74911848498775	7.8633655630162576	7.864022373936522
SCO7606	7.97427260680848	8.276665373692161	8.18692912368666	7.96739554419559	7.952327518445186	8.042368848866584	8.07335805852469	7.915542137308456	8.12895375477715	8.289917252603622	8.022211199228934	8.327417533418828	7.79035661385433	7.92599249976967	7.939476987513971	8.245016527447774	7.501693319109842	7.633397774913988	8.161592819791162	7.614094001099634	8.064560579814385	7.843720588309598	7.707153313764582	8.343936473515773	7.921987526141683	7.80556002493637	7.84095812654596
SCO7603	7.1174935275425035	7.39914853198184	6.993711113425398	7.341319031163845	7.222734958311864	7.1030155493520954	7.263733068591226	6.995873829199191	6.470073207124654	7.044825007574534	7.003925690665088	6.309615351685064	7.238118084800623	6.995687981273086	7.146139981894898	6.918632399544222	6.790583278136544	7.029304888934455	6.939414041729492	7.062436871338399	6.908945288494883	7.0017732292811905	6.9240154171859665	7.653254784402332	7.076399761229622	7.181978902147502	7.27785057703927
SCO7601	4.470435303019755	5.170870464046625	4.980178274589232	5.49838900415963	4.776354814319491	4.994750295342847	5.105219867021647	5.97943794829868	6.34855924694517	5.995359091094197	5.914513785340429	7.471164401460188	6.859206943858705	5.97685555972757	7.682858306042194	7.413772448365727	5.793417115443985	5.969223426220803	7.385047072606012	5.790781138733308	6.426621830902278	5.741824467809461	6.504569838465719	7.599618231758195	5.9622400230551085	5.81775353301787	5.395359141696563
SCO7599	6.722197508739505	6.379293758508965	6.382018440081581	6.917492583076682	6.995502133346982	7.02791744101217	7.366123330360384	6.599098692322496	5.9521492071939575	8.164489032369765	8.213700735431472	7.190612373618065	6.778561528746107	7.682664578656272	6.598253609573456	6.765247807237135	7.627270093643998	7.354230985568352	7.012112552251224	7.664159933374174	7.286968850239986	7.678023124340655	7.521491759172227	7.040969281248058	7.429915685153112	7.518116545485476	7.3795860712528745
SCO7597	5.862859437355263	6.492034331541536	6.382018440081581	6.550351379924095	6.880013918373715	7.076278597417275	6.506274428599243	5.625353063126777	5.08570552486091	5.737462969618163	6.59739053707608	5.614775896021973	5.133890041787038	6.218096139178974	5.184169534690058	5.113683282114168	5.708922219138179	5.397375427116466	5.426659269428367	6.102991944665208	5.739588805998519	5.628979258266608	5.615851345515877	5.421885644870313	5.321489373523045	5.442261093416057	4.613805086854106
SCO7592	3.522350172617969	3.668956483634424	3.2377042189771696	4.345642265937938	0.2962962962962963	4.599908187510613	3.764568269251957	5.390892417582267	5.780131035731054	5.083478062070245	4.4100430474819685	5.771814394969866	5.855830743832337	5.076286542618336	6.259092882730374	6.088766246392549	4.650016847166735	5.081309472563439	5.983333756580443	4.894918210562093	5.524152888921686	4.61201695600567	4.481499582544966	6.373535910926725	5.246626397544525	4.733868199055874	4.393982189015854
SCO7590	6.691405850326677	6.310747130115522	6.5336432609330695	6.1624128839440555	6.659649136202042	6.571624763371778	6.849475575188771	6.89851874569907	6.8977016965896105	6.752247507513439	6.5438340608065255	5.87390244211205	6.691495054332192	6.724724499655084	6.985942053905532	7.213703319225698	6.879500632847643	7.042257840272728	6.82602669726443	7.047995418589105	6.67314983935629	7.047995418589105	6.956393815428877	6.884492793001023	7.101412689849426	7.1991873268808515	6.792476494211241
SCO7589	7.282332253042741	7.585923272726156	7.424740743958787	6.8988747852813574	6.842716234214191	6.723820453029516	6.761357177962618	6.112844943374986	6.225689334898453	6.222410668806777	6.245954897088964	6.48055089733144	6.307291352503828	6.444614322900549	6.385449868399469	6.35721520403392	6.012609967945702	5.795700182169016	6.06619751413273	5.9881598825383175	5.790509213720673	5.714362743329735	5.758793637781696	6.34835254204653	6.100313857591921	5.719584727382869	5.515252574513203
SCO7588	7.998118300188752	7.917155274496037	7.912386887245423	7.00519396390233	6.794242569618663	7.016724851835288	6.229729113495234	6.750067862492706	6.574412873051092	5.893515742772723	6.7007129398832275	6.761752986310628	6.665212808030908	6.616875617865692	7.028165391107504	7.162006034914014	7.02791744101217	6.576926590290961	6.742490527488672	6.7688477725443335	6.6332657335018075	6.808246396678362	6.489759861984898	6.923499713760909	6.530252840366812	6.502985274739088	6.34835254204653
SCO7586	5.1656180299744445	4.4846697530377035	5.093132672478358	10.100417441533049	10.277764367389992	10.43103869882373	8.479651780081369	8.117569974100824	8.203321362980233	7.097628771963242	7.338654803349067	7.078788682565332	7.028165391107504	7.009456206708862	7.257845290942548	7.222734958311864	6.670838192993038	6.703574064508113	6.906818222735536	6.2515866369482165	6.464497062579103	6.149454738508638	6.225589084969076	7.271957885337855	6.548838702939805	6.274174318084976	6.708793297276399
SCO7585	7.644304918034932	7.723667899710503	7.7009388894028445	8.838762450289279	8.78256742049073	8.857275996558986	8.514129805540495	7.19847137094809	6.250742512720863	8.289917252603622	8.28466185885291	7.107392177043855	6.971669130249951	8.135022654267765	6.173935226761284	6.814303891164119	8.256336227869877	8.392391591946494	7.385047072606012	8.32897976541045	8.075737135109442	8.138315897734195	8.078514121033846	7.226993146356914	8.322261463189134	8.366583582388149	8.715278086646546
SCO7583	7.13795189511883	6.768997162848226	7.192560562462304	7.437860184961816	7.572339436201306	7.605661071003938	7.770432000928479	7.995160158060312	8.168457123898392	7.687137065342875	8.078816177679936	8.373084597043025	8.305961357680246	8.164991192706747	8.718848829718288	8.4723527199477	7.980910164127966	8.045667293546698	8.425493588054952	8.025497963026089	8.20789275604135	8.03904032782857	8.223980901559408	8.629605210120182	8.128617154156737	8.137198378780013	7.961815390459076
