Identifier	M145-R1_t1	M145-R2_t1	M145-R3_t1	M145-R1_t2	M145-R2_t2	M145-R3_t2	M145-R1_t3	M145-R2_t3	M145-R3_t3	M145-R1_t4	M145-R2_t4	M145-R3_t4	M145-R1_t5	M145-R2_t5	M145-R3_t5	M145-R1_t6	M145-R2_t6	M145-R3_t6	M145-R1_t7	M145-R2_t7	M145-R3_t7	M145-R1_t8	M145-R2_t8	M145-R3_t9 M145-R1_t8	M145-R2_t9	M145-R3_t9
SCO7820	1.2844394408906936	4.4846697530377035	3.2377042189771696	3.1689586097160793	2.8567905160530516	2.8715145167015965	3.5172472399499175	4.323903148334107	4.449374638075432	4.1864920134817645	2.8042968138142936	4.035447776648501	4.344343048723937	3.677319580862359	4.65596397029189	4.264197959332935	3.8258842715564176	4.094543840257777	4.381068021721265	3.901489542386268	4.0783109735356025	4.393982189015854	4.4218566714881025	4.585893642578729	3.973728981078556	4.09965415322565	4.732881469713274
SCO7815	8.190720286571127	8.051351349680434	8.288567592238747	8.214071615579062	8.13664014383535	8.246257527434365	8.294341192647622	7.13736344653702	6.149454738508638	6.978382182987294	7.077709188281646	5.84824807696287	6.552606739604555	7.592387361551467	6.310393263023897	6.082126435671833	7.627270093643998	7.6727284239875315	6.487411335493364	7.586162810787776	7.360167536824959	7.538624440967194	7.2832881387773565	6.204693093358054	7.440772662226207	7.510460282999083	7.740373455286306
SCO7806	8.779367747129134	9.074113353902503	9.223120770492597	9.507882894819357	9.069597560200544	9.320593232077119	9.918807880207364	8.968462401658122	8.581226410392942	9.895904651052245	9.479799286605305	9.09136997351613	8.57780690872169	8.908727570862656	7.4929894872143405	7.783847488614945	8.929773213066671	8.79302750604656	8.040333326708145	8.85088464880397	8.56773154664762	8.61568895776257	8.709052959289028	7.814554299550221	8.854721886385967	9.015687919997148	9.114252834971724
SCO7787	5.1656180299744445	5.3397706128176505	4.837596246528657	5.618544755400519	5.175945874298113	4.881438734058111	4.919145093110424	3.8249708621403338	4.25879990062389	3.8196826979953653	4.748130236693079	6.293338286458078	4.18923277575746	4.938805524794321	4.033606686008911	3.7994856626515348	5.045579892167945	4.346226240599357	4.044076997989892	4.984861246342274	3.9186045702727723	4.704603631657658	4.709286056937224	4.039787326211119	4.632423136088306	4.84143812526342	4.732881469713274
SCO7778	8.376450798982962	8.486403058136489	8.434731632372525	8.303112779131602	8.224642979889891	8.311647184031134	8.269565997404161	7.347041151062619	6.7144882122668434	7.716951084986693	7.765507649772223	6.703574064508113	7.527951325826654	7.7898603600323755	7.196411061411592	7.119539968678105	7.876734605847115	7.792945297713651	7.302879210611397	7.84095812654596	7.790477777666678	7.911145460711847	7.949214987173059	7.331374502197686	8.039787164426292	7.944822585960926	7.84095812654596
SCO7772	9.592125243342817	9.744331669287234	9.830104523995532	9.324145617085147	9.474763917036068	9.416497081578171	9.544419059852583	9.208087829953062	7.847807175531077	9.39959655121568	9.382820424400986	8.902916145444983	8.608684402130853	9.126206216076731	7.41634429844437	8.023588288338265	9.038186348153808	8.933382380434177	8.322261463189134	9.049799316635802	8.691797435939417	8.752636234164441	9.002871907485243	7.609453565906872	8.76445955830866	8.970579128490474	8.782068960144253
SCO7770	5.627141339685964	5.684004596636826	5.488901388996498	5.869022630858953	5.884087466343114	5.699887301447554	5.287503462741879	5.015370788648781	5.0401271305042865	4.603718397187228	5.218024370782723	4.93172061007046	5.194813086663	5.62311590807254	5.224007240938061	5.206390157701003	4.764211077468772	5.081309472563439	4.958045154228866	4.475444678420437	4.908046869085214	5.668221458952775	5.378057685631563	4.938805524794321	4.777428803085953	5.267262756361298	5.3292742074798465
SCO7767	7.673019461131742	6.970218359352092	7.256497449041962	7.142168186252064	7.336188952423545	7.474226698842676	7.2973200315391535	6.009688454029107	5.796460306693214	6.617192969331379	7.201885775733749	5.2617515122788046	6.144215351096793	7.303076381800277	5.483228752253401	5.780131035731054	7.660057294760771	7.354230985568352	5.779132168932706	7.695550060045695	6.928953340685206	7.531363004441904	7.3633543002634685	5.392576462730723	7.571758489247072	7.546406874961445	7.413772448365727
SCO7766	7.820685674958122	7.840286606033042	7.736694085804728	8.557197046663612	8.398297590615968	8.43695236969005	7.744100330509929	6.995873829199191	6.459735312430203	7.079654782540199	7.5446364608959335	6.59739053707608	6.821567468581906	7.613055961232577	6.310393263023897	6.497996965292559	7.602340259017065	7.429915685153112	6.951264298067192	7.803219301887008	7.5145261359669195	7.682791094497736	7.671230244432434	6.77522241714518	7.562795486788133	7.660940622758509	7.929282429979251
SCO7763	7.749343710865263	7.600195508152135	7.625988891886133	8.267024989679465	8.562226411349908	8.042368848866584	8.60687609351615	7.622367993601622	7.02791744101217	8.583070616062061	8.236018756511935	8.319136484698848	7.980910164127966	8.3638087127596	7.717220864092587	7.668736827154925	8.095482993901083	8.240459134664672	7.71312144245109	8.205907737665076	8.021987512234814	8.291472764580686	8.347330053805042	7.609453565906872	8.30149270708235	8.560533579597859	8.493603467038401
