ID_REF	VADS_01047_N	VADS_01047_T_E	VADS_0135_T_M	VADS_0279_T_NM	VADS_065_T_NM	VADS_0888_T_M	VADS_1102_N	VADS_1107_N	VADS_0190_T_NM	VADS_209_T_M	VADS_435_T_E	VADS_834_T_E	VADS_856_T_NM	VADS_933_T_M	VADS_pool_N	VADS_pool_T_E	VADS_Pool_T_NM	VADS_Pool_T_M	VADS_0103_T_NM	VADS_0118_T_LR	VADS_0165_T_M	VADS_0167_T_NM	VADS_0203_T_M	VADS_0215_T_M	VADS_0218_T_M	VADS_0330_T_M	VADS_0357_T_NM	VADS_0408_T_M	VADS_0409_T_NM	VADS_0423_T_NM	VADS_0429_T_LR	VADS_0621_T_M	VADS_0629_T_M	VADS_0684_T_LR	VADS_0702_T_LR	VADS_0744_T_M	VADS_0829_T_M	VADS_0847_T_NM
40836_s_at	788.7	1539	1077.6	1319.2	1262.2	993	1580.6	1599.1	1134.3	1427.7	1717.4	1486.7	831.8	1292	1978.3	1272	1650.8	1253	963.9	881	1005.1	963.1	1368.3	1353.2	980.3	1001.3	1035.4	1135.6	1372.4	1412.8	877.5	1108.1	833.8	526.8	879.4	1131.3	1148.1	705
40837_at	1043.5	1307.9	1375.6	1019.7	562.2	1215.3	1137.8	1285.5	1165.5	513.5	327.3	790	449	645.4	2261.6	747.5	685.7	963.2	876.4	867.8	606.6	934.8	803.4	353	430	1173.4	453.3	961.6	800.1	861.7	661.5	738.4	642.4	373.7	870.2	943.4	636.4	488.7
40838_at	179.3	142.4	194.7	192.5	103.7	447.4	239.9	201.2	163	133	157.1	99.2	206.5	177	155.3	5	117.3	140.8	571.4	1003.7	604.2	461.7	563.4	424.3	955.7	648	496.9	656.3	600.1	686.6	1020.7	666.1	455.8	1290	703.9	1031.9	531.8	345.3
40839_at	595.2	153.6	210.9	140.8	156.7	254.7	993.8	679.9	272.6	39.5	379.4	66.1	60.2	562	467.1	154.7	263.2	148.3	580.5	533.7	629.6	521.1	534.5	395.8	597	569.6	472.3	649.3	823.1	615.9	483.4	411.5	750.4	539.8	604.8	659.5	328.7	636.4
40840_at	1103.8	3255.4	1246.8	1786.1	1113.9	794.6	1207.4	956.4	1080.7	1393.9	2942.7	1042.8	846.7	712.3	1372	2826	1994.3	1848	78.4	29.3	114.4	52.4	51.2	144.7	48.5	62.1	57.8	61.3	20.9	85.9	88.1	56.4	72.3	15.1	69.6	42.8	8.5	67.5
40841_at	5163.3	2037.1	2462	1400.4	2534.9	2776.3	5521	4631.8	3099	2409.1	1732.8	1656.3	1923.4	6274	3096	5196.5	3713.4	1723.2	152.3	93.3	125.2	17.4	159.5	108.5	43.3	169.9	121	133.9	82.1	87.6	128.3	50.9	115.3	61.5	61.4	125.4	129.6	126.4
40842_at	5535.7	5353.3	4285.9	4852	6432.4	6241.4	5156.3	4809.8	6445.6	7705.6	6054.4	5951.5	8602.8	3105.8	5207.3	7783	6566.6	7394.2	113.8	157.3	203	253.6	162.3	292.6	98.9	169.9	244.9	83.8	315.3	255.5	286.3	222.6	351.5	199.1	155.7	194.5	234.6	180.4
40843_at	492.7	1048.5	776	196.8	337.5	609.5	618.1	679.1	714.3	1150.9	502.3	544.9	1270.6	464.7	470.4	404.6	705.7	494.3	1121.7	931.8	809.1	1013.9	977	1364	739.4	1094	1100.7	1045.1	1104.9	1071.7	1008.4	1518.1	1344.3	780	1180.2	1015.5	903.8	906.2
40844_at	390.2	504.8	370.6	532.9	265.3	133.2	284.9	303.5	268.9	132.3	274.7	162.9	105.1	224.3	302.8	249.8	337.4	378.7	1664.6	624.9	1898.5	714.2	1219.9	1190.7	742.3	778.4	1206.6	766.4	1559.9	455	648.2	413.3	305.7	826.4	392.5	653.4	430.5	349.3
40845_at	849.7	1411.7	1233	808.8	1367.6	1657.3	876.8	709.2	1618.2	619.4	1836.6	1104	2574.7	553.2	1043.8	1370.7	1584.4	1090.3	106.6	50.3	134	114.1	182.2	206.1	79.3	129.9	146.3	175.4	114.1	87.7	78	197	108.7	69.6	87.5	81.7	153.6	62.2
40846_g_at	1806.9	2482.8	2223.3	1908.8	2232.8	2901.6	1329	1491.9	2819.1	1682	2269.7	1511.5	2790.6	1694.1	1808.7	3240.3	2369.7	2109	171.3	216.1	301.5	170.5	152.5	233.5	218.8	103.9	137.4	169.4	190.9	86.8	120	138	103.6	165.8	104.3	119	238.5	158.2
40847_at	425.5	1078.3	1007.4	1023.5	1255.8	1233.1	590.3	642.7	350.7	560.8	336.2	972.7	394.8	134.3	497.5	1132.2	745	726.4	1513.9	1483	1204.3	1341.9	1415.1	1509.5	2163.3	1812.9	1641.1	1926.8	1672.1	5094.7	2974.2	3562.7	1838.9	903.1	2491.3	1556.5	2879	2222
